Name,Rank,Industry,Headquarters_State,Revenues,year
Pfizer Inc.,53,Pharmaceuticals,NY,"2,957,400",2001
Dynegy Inc.,54,Pipelines,TX,"2,944,490",2001
"Reliant Energy, Incorporated",55,Energy,TX,"2,933,900",2001
"E.I. du Pont de Nemours and Company, Inc.",56,Chemicals,DE,"2,920,200",2001
Delphi Automotive Systems Corporation,57,Motor Vehicles and Parts,MI,"2,913,900",2001
Johnson & Johnson,57,Pharmaceuticals,NJ,"2,913,900",2001
The Allstate Corporation,59,Insurance: Property and Casualty (Stock),IL,"2,913,400",2001
UtiliCorp United Inc.,60,Energy,MO,"2,897,490",2001
International Paper Company,61,Forest and Paper Products,NY,"2,818,000",2001
Wells Fargo & Co.,62,Commercial Banks,CA,"2,756,800",2001
Aetna,63,Health Care,CT,"2,681,890",2001
United Technologies Corporation,64,Aerospace and Defense,CT,"2,658,300",2001
"Lehman Brothers Holdings, Inc.",65,Securities,NY,"2,644,700",2001
BellSouth Corporation,66,Telecommunications,GA,"2,615,100",2001
The Walt Disney Company,67,Entertainment,CA,"2,540,200",2001
"ConAgra Foods, Incorporated",68,Food Consumer Products,NE,"2,538,580",2001
Lockheed Martin Corporation,69,Aerospace and Defense,MD,"2,532,900",2001
Bank One Corporation,70,Commercial Banks,IL,"2,516,800",2001
Honeywell International Inc.,71,Aerospace and Defense,NJ,"2,502,300",2001
Tosco Corporation,72,Petroleum Refining,CT,"2,454,500",2001
First Union Corporation,73,Commercial Banks,NC,"2,424,600",2001
American Express Company,74,Diversified Financials,NY,"2,367,500",2001
Sprint Corporation,75,Telecommunications,KS,"2,361,300",2001
Southern Company,76,Utilities: Gas and Electric,GA,"2,338,100",2001
"Alcoa, Inc.",77,Metals,PA,"2,309,000",2001
Dow Chemical,78,Chemicals,MI,"2,300,800",2001
Microsoft Corporation,79,Computer Software,WA,"2,295,600",2001
Prudential Insurance Company of America,80,"Insurance: Life, Health (Mutual)",NJ,"2,275,990",2001
FleetBoston Financial Corporation,81,Commercial Banks,MA,"2,260,800",2001
PG&E Corporation,82,Utilities: Gas and Electric,CA,"2,248,300",2001
"AutoNation, Inc.",83,"Automotive Retailing, Services",FL,"2,233,080",2001
Georgia-Pacific Corporation,84,Forest and Paper Products,GA,"2,221,800",2001
TXU Corp.,85,Utilities: Gas and Electric,TX,"2,200,900",2001
El Paso Corporation,86,Pipelines,TX,"2,195,000",2001
New York Life Insurance Company,87,"Insurance: Life, Health (Mutual)",NY,"2,145,040",2001
Bristol-Myers Squibb Company,88,Pharmaceuticals,NY,"2,133,100",2001
Phillips Petroleum Company,89,Petroleum Refining,OK,"2,122,700",2001
Walgreen Co.,90,Food and Drug Stores,IL,"2,120,690",2001
"UnitedHealth Group, Incorporated",91,Health Care,MN,"2,112,200",2001
Loews Corporation,92,Insurance: Property and Casualty (Stock),NY,"2,066,990",2001
The Coca-Cola Company,93,Beverages,GA,"2,045,800",2001
"PepsiCo, Inc.",94,Beverages,NY,"2,043,800",2001
Tech Data Corporation,95,Wholesalers: Electronics and Office Equipment,FL,"2,042,770",2001
Sara Lee Corporation,96,Food Consumer Products,IL,"2,041,400",2001
Supervalu Inc.,97,Wholesalers: Food and Grocery,MN,"2,033,910",2001
AMR Corporation,98,Airlines,TX,"2,024,500",2001
"Caterpillar, Inc.",99,Industrial and Farm Equipment,IL,"2,017,500",2001
CVS Corporation,100,Food and Drug Stores,RI,"2,008,750",2001
Viacom Inc.,101,Entertainment,NY,"2,004,370",2001
CIGNA Corporation,102,Health Care,PA,"1,999,400",2001
Bergen Brunswig Corporation,108,Specialty Retailers,NC,"1,877,860",2001
UAL Corporation,104,Airlines,IL,"1,935,200",2001
Sysco Corporation,105,Wholesalers: Food and Grocery,TX,"1,930,330",2001
Electronic Data Systems Corporation,106,Computer And Data Services,TX,"1,922,680",2001
"Cisco Systems, Inc.",107,Network and Other Communications Equipment,CA,"1,892,800",2001
Xerox Corporation,109,"Computers, Office Equipment",CT,"1,863,200",2001
"Federated Department Stores, Inc.",110,General Merchandisers,OH,"1,840,700",2001
Raytheon Company,111,Aerospace and Defense,MA,"1,832,100",2001
FedEx Corporation,112,"Mail, Package, and Freight Delivery",TN,"1,825,690",2001
Pharmacia Corporation,113,Pharmaceuticals,NJ,"1,815,000",2001
TRW Inc.,114,Motor Vehicles and Parts,OH,"1,723,110",2001
"Johnson Controls, Inc.",115,Motor Vehicles and Parts,WI,"1,715,460",2001
Northwestern Mutual Life Insurance Company,116,"Insurance: Life, Health (Mutual)",WI,"1,697,380",2001
"IBP, Inc.",117,Food Production,SD,"1,694,960",2001
Minnesota Mining and Manufacturing Company,118,"Scientific,Photographic and Control Equipment",MN,"1,672,400",2001
HCA,119,Health Care,TN,"1,667,000",2001
Qwest Communications International Inc.,120,Telecommunications,CO,"1,661,000",2001
Liberty Mutual Insurance Group,121,Insurance: Property and Casualty (Mutual),MA,"1,643,800",2001
Weyerhaeuser Company,122,Forest and Paper Products,WA,"1,598,000",2001
"Delta Air Lines, Inc.",123,Airlines,GA,"1,588,800",2001
"Washington Mutual, Inc.",124,Savings Institutions,WA,"1,576,660",2001
"Sun Microsystems, Inc.",125,"Computers, Office Equipment",CA,"1,572,100",2001
Emerson Electric Co.,126,"Electronics, Electrical Equip.",MO,"1,554,480",2001
Nationwide Insurance Enterprise,127,Insurance: Property and Casualty (Stock),OH,"1,476,210",2001
"Coca-Cola Enterprises, Inc.",128,Beverages,GA,"1,475,000",2001
Hartford Financial Services Group Inc.,129,Insurance: Property and Casualty (Stock),CT,"1,470,300",2001
Rite Aid Corporation,130,Food and Drug Stores,PA,"1,468,140",2001
Valero Energy Corporation,138,Food Services,IL,"1,424,300",2001
"Publix Super Markets, Inc.",132,Food and Drug Stores,FL,"1,457,500",2001
Occidental Petroleum Corporation,133,"Mining, Crude-Oil Production",CA,"1,454,300",2001
The May Department Stores Company,134,General Merchandisers,MO,"1,451,100",2001
"Fleming Companies, Inc.",135,Wholesalers: Food and Grocery,TX,"1,444,380",2001
The Goodyear Tire & Rubber Company and Subsidiaries,136,Rubber and Plastic Products,OH,"1,441,710",2001
Ultramar Diamond Shamrock Corporation,137,Petroleum Refining,TX,"1,429,240",2001
Solectron Corporation,139,Semiconductors and Other Electronic Components,CA,"1,413,750",2001
Lear Corporation,140,Motor Vehicles and Parts,MI,"1,407,280",2001
Eastman Kodak Company,141,"Scientific,Photographic and Control Equipment",NY,"1,399,400",2001
Kimberly-Clark Corporation,142,Forest and Paper Products,TX,"1,398,200",2001
American Home Products Corporation,143,Pharmaceuticals,NJ,"1,380,950",2001
Abbott Laboratories,144,Pharmaceuticals,IL,"1,374,590",2001
"Winn-Dixie Stores, Inc.",145,Food and Drug Stores,FL,"1,369,750",2001
"American Electric Power Company, Inc.",146,Utilities: Gas and Electric,OH,"1,369,400",2001
"The Gap, Inc.",147,Specialty Retailers,CA,"1,367,350",2001
Halliburton,148,"Engineering, Construction",TX,"1,334,400",2001
Deere & Company,149,Industrial and Farm Equipment,IL,"1,313,680",2001
Textron Inc.,150,Aerospace and Defense,RI,"1,309,000",2001
Arrow Electronics,151,Wholesalers: Electronics and Office Equipment,NY,"1,295,930",2001
Archer Daniels Midland Company,152,Food Production,IL,"1,287,680",2001
Dana Corporation,153,Motor Vehicles and Parts,OH,"1,269,100",2001
"Sunoco, Inc.",154,Petroleum Refining,PA,"1,266,400",2001
"Circuit City Stores, Inc.",155,Specialty Retailers,VA,"1,261,440",2001
Best Buy Co. Inc.,156,Specialty Retailers,MN,"1,249,400",2001
"Waste Management, Inc.",157,Waste Management,TX,"1,249,200",2001
Amerada Hess Corporation,158,Petroleum Refining,NY,"1,227,700",2001
Anheuser-Busch,159,Beverages,MO,"1,226,180",2001
"Farmland Industries, Inc.",160,Food Production,MO,"1,223,900",2001
"Household International, Inc.",161,Diversified Financials,IL,"1,196,090",2001
Union Pacific Corporation,162,Railroads,NE,"1,187,800",2001
Texas Instruments Incorporated,163,Semiconductors and Other Electronic Components,TX,"1,187,500",2001
Edison International,164,Utilities: Gas and Electric,CA,"1,163,500",2001
AmeriSource Health Corporation,165,Wholesalers: Health Care,PA,"1,161,000",2001
Xcel Energy Inc.,166,Utilities: Gas and Electric,MN,"1,159,180",2001
"Office Depot, Inc.",167,Specialty Retailers,FL,"1,156,970",2001
"The Williams Companies, Inc.",172,Specialty Retailers,NJ,"1,133,200",2001
PacifiCare Health Systems Inc.,169,Health Care,CA,"1,146,790",2001
Northwest Airlines Corporation,170,Airlines,MN,"1,141,500",2001
Tenet Healthcare Corporation,171,Health Care,CA,"1,141,400",2001
Massachusetts Mutual Life Insurance Company,173,"Insurance: Life, Health (Mutual)",MA,"1,127,480",2001
American General Corporation,174,"Insurance: Life, Health (stock)",TX,"1,106,300",2001
Fluor Corporation,175,"Engineering, Construction",CA,"1,105,600",2001
Eli Lilly & Company,176,Pharmaceuticals,IN,"1,086,220",2001
Manpower Inc.,177,Temporary Help,WI,"1,084,280",2001
"Staples, Inc.",178,Specialty Retailers,MA,"1,067,370",2001
Humana Inc.,179,Health Care,KY,"1,051,400",2001
General Dynamics Corporation,180,Aerospace and Defense,VA,"1,035,900",2001
Whirlpool Corporation,181,"Electronics, Electrical Equip.",MI,"1,032,500",2001
"The Bear Stearns Companies, Inc.",182,Securities,NY,"1,027,660",2001
"Marsh & McLennan Companies, Inc.",183,Diversified Financials,NY,"1,015,700",2001
Oracle Corporation,184,Computer Software,CA,"1,013,010",2001
"The Limited, Inc.",185,Specialty Retailers,OH,"1,010,460",2001
"Marriott International, Inc.",186,"Hotels, Casinos, Resorts",MD,"1,001,700",2001
Entergy Corporation,187,Utilities: Gas and Electric,LA,"1,001,610",2001
Gillette Company,188,Metal Products,MA,"998,600",2001
"Illinois Tool Works, Inc.",189,Metal Products,IL,"998,360",2001
U.S. Bancorp,190,Commercial Banks,MN,"996,550",2001
Continental Airlines,191,Airlines,TX,"989,900",2001
Schering-Plough Corporation,192,Pharmaceuticals,NJ,"981,500",2001
"AFLAC, Inc.",193,"Insurance: Life, Health (stock)",GA,"972,000",2001
"Gateway, Inc.",194,"Computers, Office Equipment",CA,"960,060",2001
"The TJX Companies, Inc.",195,Specialty Retailers,MA,"957,900",2001
"Applied Materials, Inc.",196,"Scientific,Photographic and Control Equipment",CA,"956,440",2001
"Consolidated Edison, Inc.",197,Utilities: Gas and Electric,NY,"945,780",2001
UnumProvident Corporation,198,"Insurance: Life, Health (stock)",TN,"944,690",2001
H.J. Heinz Company,199,Food Consumer Products,PA,"940,790",2001
Computer Sciences Corporation,200,Computer And Data Services,CA,"937,070",2001
Colgate-Palmolive Company,201,"Soaps, Cosmetics",NY,"935,790",2001
"US Airways Group, Inc.",202,Airlines,VA,"926,900",2001
"Dominion Resources, Inc.",203,Utilities: Gas and Electric,VA,"926,000",2001
WellPoint Health Networks Inc.,204,Health Care,CA,"922,900",2001
Ingersoll-Rand Company,205,Industrial and Farm Equipment,NJ,"922,000",2001
Burlington Northern Santa Fe Corp.,206,Railroads,TX,"920,500",2001
Unocal Corporation,207,"Mining, Crude-Oil Production",CA,"920,200",2001
"Avnet, Inc.",208,Wholesalers: Electronics and Office Equipment,AZ,"917,220",2001
Health Net Inc.,209,Health Care,CA,"907,660",2001
National City Corporation,210,Commercial Banks,OH,"905,080",2001
CMS Energy Corporation,211,Utilities: Gas and Electric,MI,"899,800",2001
"Nike, Inc.",212,Apparel,OR,"899,510",2001
Eaton Corporation,213,"Electronics, Electrical Equip.",OH,"898,800",2001
Guardian Life Insurance Co. of America,214,"Insurance: Life, Health (Mutual)",NY,"896,760",2001
Principal Financial Group,215,"Insurance: Life, Health (stock)",IA,"888,490",2001
EMC Corporation,216,Computer Peripherals,MA,"887,280",2001
Smurfit-Stone Container Corporation,217,Forest and Paper Products,IL,"883,900",2001
"Dillard's, Inc.",218,General Merchandisers,AR,"881,800",2001
"Anthem Insurance Companies,Inc.",219,Health Care,IN,"877,110",2001
"PPG Industies, Inc.",220,Chemicals,PA,"862,900",2001
"SunTrust Banks, Inc.",221,Commercial Banks,GA,"861,900",2001
"The St. Paul Companies, Inc.",222,Insurance: Property and Casualty (Stock),MN,"860,760",2001
Cenex Harvest States Cooperatives,223,Wholesalers: Food and Grocery,MN,"857,140",2001
United Services Automobile Association,224,Insurance: Property and Casualty (Stock),TX,"855,100",2001
CSX Corporation,225,Railroads,VA,"852,630",2001
KeyCorp,226,Commercial Banks,OH,"847,100",2001
Navistar International Corporation,227,Motor Vehicles and Parts,IL,"845,100",2001
CInergy Corp.,228,Utilities: Gas and Electric,OH,"842,200",2001
Genuine Parts Company,229,Wholesalers: Diversified,GA,"836,990",2001
"SCI Systems, Inc.",230,Semiconductors and Other Electronic Components,AL,"834,260",2001
"Conseco, Inc.",231,"Insurance: Life, Health (stock)",IN,"829,640",2001
Northrop Grumman Corporation,232,Aerospace and Defense,CA,"828,700",2001
Comcast Corporation,233,Telecommunications,PA,"821,860",2001
Ashland Inc.,234,Chemicals,KY,"819,000",2001
"R. J. Reynolds Tobacco Holdings, Inc.",235,Tobacco,NC,"816,700",2001
"Apple Computer, Inc.",236,"Computers, Office Equipment",CA,"798,300",2001
"The Pepsi Bottling Group, Inc.",237,Beverages,NY,"798,200",2001
Paccar Inc.,238,Motor Vehicles and Parts,WA,"791,940",2001
Avista Corp.,239,Energy,WA,"791,150",2001
MBNA Corporation,240,Commercial Banks,DE,"786,890",2001
Boise Cascade Corporation,241,Forest and Paper Products,ID,"780,670",2001
PNC Financial Services Group Inc.,242,Commercial Banks,PA,"762,300",2001
"American Standard Companies, Inc.",243,Industrial and Farm Equipment,NJ,"759,800",2001
John Hancock Financial Services Inc.,244,"Insurance: Life, Health (stock)",MA,"750,640",2001
Exelon Corporation,245,Utilities: Gas and Electric,IL,"749,900",2001
"The Bank of New York Company, Inc.",246,Commercial Banks,NY,"748,600",2001
Aon Corporation,247,Diversified Financials,IL,"737,500",2001
"Micron Technology, Inc.",248,Semiconductors and Other Electronic Components,ID,"733,630",2001
Premcor Inc.,249,Petroleum Refining,MO,"730,170",2001
"Crown Cork & Seal Company, Inc.",250,Metal Products,PA,"728,900",2001
Wachovia Corporation,251,Commercial Banks,NC,"727,660",2001
Corning Inc.,334,"Building Materials, Glass",NY,"481,250",2001
ARAMARK Corporation,253,Diversified Outsourcing Services,PA,"726,290",2001
Chubb Corporation,254,Insurance: Property and Casualty (Stock),NJ,"725,150",2001
Masco Corporation,255,Metal Products,MI,"724,300",2001
Rockwell International Corporation,256,"Electronics, Electrical Equip.",WI,"722,000",2001
"Tyson Foods, Inc.",257,Food Production,AR,"715,800",2001
Baxter International Inc.,258,Medical Products and Equipment,IL,"714,800",2001
Sempra Energy,259,Utilities: Gas and Electric,CA,"714,300",2001
The Charles Schwab Corporation,343,Securities,CA,"471,320",2001
NorthWestern Corporation,261,Energy,SD,"713,200",2001
Safeco Corporation,262,Insurance: Property and Casualty (Stock),WA,"711,840",2001
"Tricon Global Restaurants, Inc.",263,Food Services,KY,"709,300",2001
"FPL Group, Inc.",264,Utilities: Gas and Electric,FL,"708,200",2001
ALLTEL Corporation,265,Telecommunications,AR,"706,700",2001
FirstEnergy Corporation,266,Utilities: Gas and Electric,OH,"702,900",2001
"Adams Resources & Energy, Inc.",267,Energy,TX,"702,220",2001
Firstar Corporation,268,Commercial Banks,WI,"699,780",2001
Kellogg Company,269,Food Consumer Products,MI,"695,470",2001
Newell Rubbermaid Inc.,270,Metal Products,IL,"693,470",2001
America Online,271,Computer And Data Services,NY,"688,600",2001
Unisys Corporation,272,Computer And Data Services,PA,"688,500",2001
Rohm and Haas Company,273,Chemicals,PA,"687,900",2001
Lincoln National Corporation,274,"Insurance: Life, Health (stock)",PA,"685,150",2001
"Public Service Enterprise Group, Inc.",275,Utilities: Gas and Electric,NJ,"684,800",2001
Express Scripts,276,Health Care,MO,"678,690",2001
The Progressive Corporation,277,Insurance: Property and Casualty (Stock),OH,"677,100",2001
"General Mills, Inc.",278,Food Consumer Products,MN,"670,020",2001
AES Corporation,279,Utilities: Gas and Electric,VA,"669,100",2001
ONEOK Inc.,280,Utilities: Gas and Electric,OK,"664,290",2001
"Plains Resources, Inc.",281,"Mining, Crude-Oil Production",TX,"663,060",2001
"Cummins Engine Company, Inc.",282,Industrial and Farm Equipment,IN,"659,700",2001
"Saks, Incorporated",283,General Merchandisers,AL,"658,120",2001
Union Carbide Corporation,284,Chemicals,CT,"652,600",2001
"Seagate Technology, Inc.",285,Computer Peripherals,CA,"644,800",2001
"Automatic Data Processing, Inc.",286,Computer And Data Services,NJ,"628,750",2001
Campbell Soup Co.,287,Food Consumer Products,NJ,"626,700",2001
"Gannett Co., Inc.",288,"Publishing, Printing",VA,"624,440",2001
CNF Transportation,289,"Trucking, Truck Leasing",CA,"616,630",2001
"CIT Group, Inc.",290,Diversified Financials,NY,"616,040",2001
Norfolk Southern Corporation,291,Railroads,VA,"615,900",2001
Omnicom Group Inc.,292,"Advertising, marketing",NY,"615,420",2001
NiSource Inc.,294,Utilities: Gas and Electric,IN,"613,540",2001
"Computer Associates International, Inc.",295,Computer Software,NY,"610,300",2001
Science Applications International Corporation,296,Computer And Data Services,CA,"609,170",2001
"Sonic Automotive, Inc.",297,"Automotive Retailing, Services",NC,"605,250",2001
Federal-Mogul Corporation,298,Motor Vehicles and Parts,MI,"601,320",2001
Mellon Financial Corp.,299,Commercial Banks,PA,"597,900",2001
The ServiceMaster Company,300,Diversified Outsourcing Services,IL,"597,060",2001
NCR Corporation,301,"Computers, Office Equipment",OH,"595,900",2001
Centex Corporation,302,"Engineering, Construction",TX,"595,640",2001
Providian Financial Corporation,303,Commercial Banks,CA,"594,820",2001
State Street Corporation,304,Commercial Banks,MA,"592,100",2001
Northeast Utilities,305,Utilities: Gas and Electric,CT,"590,120",2001
"Owens-Illinois, Inc.",306,"Building Materials, Glass",OH,"581,480",2001
R.R. Donnelley & Sons Company,307,"Publishing, Printing",IL,"576,430",2001
Suiza Foods Corporation,308,Food Production,TX,"575,630",2001
VF Corporation,309,Apparel,NC,"574,790",2001
"Avon Products, Inc.",310,"Soaps, Cosmetics",NY,"571,460",2001
"Nextel Communications, Inc.",311,Telecommunications,VA,"571,400",2001
"Allied Waste Industries, Inc.",312,Waste Management,AZ,"570,750",2001
First Data Corporation,313,Computer And Data Services,GA,"570,520",2001
Anadarko Petroleum Corp.,314,"Mining, Crude-Oil Production",TX,"568,600",2001
PPL Corporation,315,Utilities: Gas and Electric,PA,"568,300",2001
Southwest Airlines Company,316,Airlines,TX,"564,960",2001
"Interpublic Group of Companies, Inc.",279,"Advertising, marketing",NY,"672,680",2001
DTE Energy Company,318,Utilities: Gas and Electric,MI,"559,700",2001
"Mattel, Inc.",319,"Toys, Sporting Goods",CA,"558,950",2001
"Litton Industries, Inc.",320,"Electronics, Electrical Equip.",CA,"558,820",2001
Engelhard Corporation,321,Chemicals,NJ,"554,260",2001
The BFGoodrich Company,322,Aerospace and Defense,NC,"553,150",2001
"Nortstrom, Inc.",323,General Merchandisers,WA,"552,850",2001
Air Products & Chemicals,324,Chemicals,PA,"549,550",2001
fo,325,Metal Products,IL,"549,180",2001
"Ikon Office Solutions, Inc.",326,Wholesalers: Electronics and Office Equipment,PA,"544,690",2001
Capital One Financial Corporation,327,Diversified Financials,VA,"542,430",2001
Dover Corporation,328,Industrial and Farm Equipment,NY,"540,070",2001
coms,329,Network and Other Communications Equipment,CA,"539,150",2001
Parker-Hannifin Corporation,330,Industrial and Farm Equipment,OH,"535,530",2001
"Clear Channel Communications, Inc.",331,Entertainment,TX,"534,530",2001
BB&T Corp,332,Commercial Banks,NC,"533,820",2001
"Ryder System, Inc.",333,"Trucking, Truck Leasing",FL,"533,680",2001
Eastman Chemical Company,334,Chemicals,TN,"529,200",2001
Baker Hughes Incorporated,335,Industrial and Farm Equipment,TX,"523,380",2001
"Graybar Electric Company, Inc.",336,Wholesalers: Electronics and Office Equipment,MO,"521,390",2001
The Sherwin-Williams Company,337,Chemicals,OH,"521,160",2001
GPUInc.,338,Utilities: Gas and Electric,NJ,"519,630",2001
"OfficeMax, Inc.",339,Specialty Retailers,OH,"515,640",2001
"ArvinMeritor, Inc.",340,Motor Vehicles and Parts,MI,"515,300",2001
Smithfield Foods,341,Food Consumer Products,VA,"515,050",2001
Keyspan Corporation,342,Utilities: Gas and Electric,NY,"512,150",2001
Tesoro Petroleum Corporation,343,Petroleum Refining,TX,"510,250",2001
Tribune Company,344,"Publishing, Printing",IL,"507,960",2001
TransMontaigne Inc.,345,Pipelines,CO,"507,140",2001
"Praxair, Inc.",346,Chemicals,CT,"504,300",2001
The Quaker Oats Company,347,Food Consumer Products,IL,"504,100",2001
Conectiv,348,Utilities: Gas and Electric,DE,"502,910",2001
"Medtronic, Inc.",349,Medical Products and Equipment,MN,"501,460",2001
"W.W. Grainger, Inc.",350,Wholesalers: Diversified,IL,"497,700",2001
Owens Corning,353,Specialty Retailers,MA,"493,210",2001
Pacific Life Insurance Company,354,"Insurance: Life, Health (Mutual)",CA,"489,710",2001
Park Place Entertainment,355,"Hotels, Casinos, Resorts",NV,"489,600",2001
"United Auto Group, Inc.",356,"Automotive Retailing, Services",MI,"488,400",2001
TruServ Corporation,293,General Merchandisers,WI,"615,200",2001
"ITT Industries, Inc.",427,"Engineering, Construction",NE,"387,100",2001
Crestline Capital,359,"Hotels, Casinos, Resorts",MD,"481,720",2001
RadioShack Corporation,360,Specialty Retailers,TX,"479,470",2001
American Family Mutual Insurance Company,361,Insurance: Property and Casualty (Stock),WI,"477,140",2001
"Dole Food Company, Inc.",362,Food Consumer Products,CA,"476,310",2001
"Sodexho Marriott Services, Inc.",363,Diversified Outsourcing Services,MD,"473,400",2001
Quantum Corporation,364,Computer Peripherals,CA,"472,720",2001
Lennar Corporation,365,"Engineering, Construction",FL,"470,700",2001
"Venator Group, Inc.",366,Specialty Retailers,NY,"469,100",2001
Cendant,367,zMiscellaneous,NY,"467,300",2001
"Willamette Industries, Inc.",368,Forest and Paper Products,OR,"465,180",2001
"Advanced Micro Devices, Inc.",424,Semiconductors and Other Electronic Components,CA,"389,180",2001
Murphy Oil Corporation,370,Petroleum Refining,AR,"464,070",2001
"USA Networks, Inc.",371,Entertainment,NY,"462,120",2001
AK Steel Holding Corporation,372,Metals,OH,"461,150",2001
Nucor Corporation,373,Metals,NC,"458,610",2001
The Black & Decker Corporation,374,Industrial and Farm Equipment,MD,"456,080",2001
Dollar General Corporation,375,General Merchandisers,TN,"455,150",2001
Golden State Bancorp,376,Savings Institutions,CA,"454,660",2001
"Niagara Mohawk Holdings, Inc.",377,Utilities: Gas and Electric,NY,"453,930",2001
Phelps Dodge Corporation,378,Metals,AZ,"452,510",2001
"Pitney Bowes, Inc.",379,"Computers, Office Equipment",CT,"452,210",2001
"Kelly Services, Inc.",381,Temporary Help,MI,"448,730",2001
"AutoZone, Inc.",382,Specialty Retailers,TN,"448,270",2001
"Cooper Industries, Incorporated",383,"Electronics, Electrical Equip.",TX,"445,990",2001
"Caremark Rx, Inc.",452,Wholesalers: Food and Grocery,WI,"345,150",2001
Cablevision Systems Corp.,385,Telecommunications,NY,"441,100",2001
"Starwood Hotels & Resorts Worldwide, Inc.",386,"Hotels, Casinos, Resorts",NY,"440,200",2001
"Flowers Industries, Inc.",387,Food Consumer Products,GA,"437,690",2001
The Mead Corporation,388,Forest and Paper Products,OH,"436,810",2001
The Est_e Lauder Companies Inc.,389,"Soaps, Cosmetics",NY,"436,680",2001
Temple-Inland Inc.,390,Forest and Paper Products,TX,"428,600",2001
"The McGraw-Hill Companies, Inc.",391,"Publishing, Printing",NY,"428,100",2001
"Leggett & Platt, Incorporated",392,Furniture,MO,"427,630",2001
Fifth Third Bancorp,393,Commercial Banks,OH,"427,610",2001
Mutual of Omaha Insurance Companies,394,"Insurance: Life, Health (Mutual)",NE,"427,420",2001
Maytag Corporation,395,"Electronics, Electrical Equip.",IA,"424,750",2001
"Avis Rent A Car, Inc.",396,"Automotive Retailing, Services",NY,"424,370",2001
The Pittston Company,397,"Mail, Package, and Freight Delivery",VA,"423,520",2001
Hershey Foods Corporation,398,Food Consumer Products,PA,"422,100",2001
HEALTHSOUTH Corporation,400,Health Care,AL,"419,510",2001
"USA Education, Inc.",401,Diversified Financials,VA,"416,630",2001
Pulte Corporation,402,"Engineering, Construction",MI,"415,910",2001
TruServ Corporation,403,Wholesalers: Diversified,IL,"415,900",2001
"Jones Apparel Group, Inc.",404,Apparel,PA,"414,300",2001
Kerr-McGee,405,"Mining, Crude-Oil Production",OK,"412,100",2001
"Progress Energy, Inc.",406,Utilities: Gas and Electric,NC,"411,890",2001
"Autoliv, Inc.",407,Motor Vehicles and Parts,UT,"411,610",2001
"Oxford Health Plans, Inc.",408,Health Care,CT,"411,180",2001
Encompass Services Corporation,409,Diversified Outsourcing Services,TX,"409,940",2001
Barnes & Noble Inc.,410,Specialty Retailers,NY,"409,510",2001
Comerica Incorporated,411,Commercial Banks,MI,"408,750",2001
The Clorox Company,412,"Soaps, Cosmetics",CA,"408,300",2001
Dean Foods Company,413,Food Production,IL,"406,560",2001
Lyondell Chemical Company,414,Chemicals,TX,"403,600",2001
Longs Drug Stores Corporation,415,Food and Drug Stores,CA,"402,710",2001
The LTV Corporation,352,Metals,OH,"493,400",2001
Nash Finch Company,416,Wholesalers: Food and Grocery,MN,"401,550",2001
Allegheny Energy Incorporated,417,Utilities: Gas and Electric,MD,"401,190",2001
"Ames Department Stores, Inc.",418,General Merchandisers,CT,"400,000",2001
"Merisel, Inc.",419,Wholesalers: Electronics and Office Equipment,CA,"398,100",2001
Foster Wheeler Corporation,420,"Engineering, Construction",NJ,"396,940",2001
Golden West Financial Corporation,421,Savings Institutions,CA,"395,740",2001
"Shopko Stores, Inc.",422,Specialty Retailers,WI,"395,140",2001
United Stationers Inc.,423,Wholesalers: Electronics and Office Equipment,IL,"394,490",2001
KB Home,424,"Engineering, Construction",CA,"393,090",2001
FMC Corporation,425,Chemicals,IL,"392,550",2001
Sanmina Corporation,426,Semiconductors and Other Electronic Components,CA,"391,160",2001
SouthTrust Corporation,427,Commercial Banks,AL,"389,980",2001
Avery Dennison Corporation,428,Chemicals,CA,"389,350",2001
York International Corporation,429,Industrial and Farm Equipment,PA,"388,820",2001
Thermo Electron Corporation,430,"Scientific,Photographic and Control Equipment",MA,"388,640",2001
"Wesco International, Inc.",431,Wholesalers: Diversified,PA,"388,110",2001
"Constellation Energy Group, Inc.",432,Utilities: Gas and Electric,MD,"387,850",2001
"Comdisco, Inc.",433,Computer And Data Services,IL,"387,100",2001
Ameren Corporation,434,Utilities: Gas and Electric,MO,"385,580",2001
"CDW Computer Centers, Inc.",435,Wholesalers: Electronics and Office Equipment,IL,"384,250",2001
Regions Financial Corporation,436,Commercial Banks,AL,"383,550",2001
"Lexmark International, Inc.",437,Computer Peripherals,KY,"380,700",2001
"Hasbro, Inc.",438,"Toys, Sporting Goods",RI,"378,720",2001
"American Financial Group, Inc.",439,Insurance: Property and Casualty (Stock),OH,"378,610",2001
USG Corporation,440,"Building Materials, Glass",IL,"378,100",2001
Danaher Corporation,441,Metal Products,DC,"377,780",2001
"Pathmark Stores, Inc.",442,Food and Drug Stores,NJ,"374,190",2001
Brunswick Corporation,380,Transportation Equipment,IL,"450,720",2001
Spherion Corporation,443,Temporary Help,FL,"374,080",2001
Amsouth Bancorporation,444,Commercial Banks,AL,"373,990",2001
"Kinder Morgan, Inc.",445,Pipelines,TX,"373,090",2001
Westvaco Corporation,446,Forest and Paper Products,NY,"371,990",2001
"Fleetwood Enterprises, Inc.",447,Motor Vehicles and Parts,CA,"371,300",2001
Administaff Inc,448,Diversified Outsourcing Services,TX,"370,850",2001
